Name,Stars,Title,Date,Description
Granda Gadget,5.0,"5.0 out of 5 stars
Is that an iPhone 14 ProMax in your pocket or are you just",N/A,iphone 14 promax pocket pleased see 14 promax decent size overall mass bulgaria weighs like brick thatit responsive colour vibrant battery life seems ok nowif hadnt far superior camera would opted 13 promax would practical carry around2 week later ive found battery life good indeed last nearly 2 day respect quite used dynamic island truth known could without dont think would ever use bought camera mostly camera im unused using dslrs produce spectacular picture downside moby size memory especially case 128mbs got least 256mbs gone full tilt pushed 1tbexcellent mobile need research know need forim satisfied purchase end
Kayode Akomolafe,5.0,"5.0 out of 5 stars
Great Value",N/A,handy size good battery life good working condition good display
Bunnie,5.0,"5.0 out of 5 stars
Love the quilty of the photo",N/A,phone expensive worth itthe camera quality amazing comparing photo quality using actual camera 14 pro max blew mind photo quality pretty closeface recognition definitely upgraded recognised even without makeupthe battery life phone insane playing game normally use phone charged 2 day still 20 left
Mert Ozunal,4.0,"4.0 out of 5 stars
Great and amazing",N/A,switched iphone android huawei phone quite happy look work greatmy complaint charger included paid 1000 gave cable lol
Bonkutza,5.0,"5.0 out of 5 stars
Best iphone ever ⭐️",N/A,perfect 5
JohnCC,5.0,"5.0 out of 5 stars
Best phone I've had in a long time",N/A,best phone ive long time great battery life good looking phone screen brilliant love apple eco system
Kian,5.0,"5.0 out of 5 stars
Good purchase",N/A,im happy iphone 14 pro max
Adam,3.0,"3.0 out of 5 stars
Was OK BUT...",N/A,phone ok slow think dodgy one however biggest issue iphone seemed 3 month le apple warranty although bought brand new amazon tried reassuring covered warranty pay apple price want apple service store confusing thought id return easiest option issue 2 week gone refund
Bambi14,5.0,"5.0 out of 5 stars
Outstanding",N/A,perfect condition excellent sound quality value money someone love photography complaint far picture quality go good get phone camera huge difference compared model dont fooled upgrading however nice new feature older model may nothing outstanding battery life amazing main reason changed phone 11 model last well day without charged im quite heavy social mediacamera user reliable phone happy purchase
FruityPebbles,5.0,"5.0 out of 5 stars
Stunning phone!",N/A,already bought one earlier year bought second one son need new phone substantial phone overly heavy cumbersome usethe screen beautiful music sound great paired airpods pro great device expensive wont use another brand phone
Granda Gadget,5.0,"5.0 out of 5 stars
Is that an iPhone 14 ProMax in your pocket or are you just",N/A,iphone 14 promax pocket pleased see 14 promax decent size overall mass bulgaria weighs like brick thatit responsive colour vibrant battery life seems ok nowif hadnt far superior camera would opted 13 promax would practical carry around2 week later ive found battery life good indeed last nearly 2 day respect quite used dynamic island truth known could without dont think would ever use bought camera mostly camera im unused using dslrs produce spectacular picture downside moby size memory especially case 128mbs got least 256mbs gone full tilt pushed 1tbexcellent mobile need research know need forim satisfied purchase end
Kayode Akomolafe,5.0,"5.0 out of 5 stars
Great Value",N/A,handy size good battery life good working condition good display
Bunnie,5.0,"5.0 out of 5 stars
Love the quilty of the photo",N/A,phone expensive worth itthe camera quality amazing comparing photo quality using actual camera 14 pro max blew mind photo quality pretty closeface recognition definitely upgraded recognised even without makeupthe battery life phone insane playing game normally use phone charged 2 day still 20 left
Mert Ozunal,4.0,"4.0 out of 5 stars
Great and amazing",N/A,switched iphone android huawei phone quite happy look work greatmy complaint charger included paid 1000 gave cable lol
Bonkutza,5.0,"5.0 out of 5 stars
Best iphone ever ⭐️",N/A,perfect 5
JohnCC,5.0,"5.0 out of 5 stars
Best phone I've had in a long time",N/A,best phone ive long time great battery life good looking phone screen brilliant love apple eco system
Kian,5.0,"5.0 out of 5 stars
Good purchase",N/A,im happy iphone 14 pro max
Adam,3.0,"3.0 out of 5 stars
Was OK BUT...",N/A,phone ok slow think dodgy one however biggest issue iphone seemed 3 month le apple warranty although bought brand new amazon tried reassuring covered warranty pay apple price want apple service store confusing thought id return easiest option issue 2 week gone refund
Bambi14,5.0,"5.0 out of 5 stars
Outstanding",N/A,perfect condition excellent sound quality value money someone love photography complaint far picture quality go good get phone camera huge difference compared model dont fooled upgrading however nice new feature older model may nothing outstanding battery life amazing main reason changed phone 11 model last well day without charged im quite heavy social mediacamera user reliable phone happy purchase
FruityPebbles,5.0,"5.0 out of 5 stars
Stunning phone!",N/A,already bought one earlier year bought second one son need new phone substantial phone overly heavy cumbersome usethe screen beautiful music sound great paired airpods pro great device expensive wont use another brand phone
Granda Gadget,5.0,"5.0 out of 5 stars
Is that an iPhone 14 ProMax in your pocket or are you just",N/A,iphone 14 promax pocket pleased see 14 promax decent size overall mass bulgaria weighs like brick thatit responsive colour vibrant battery life seems ok nowif hadnt far superior camera would opted 13 promax would practical carry around2 week later ive found battery life good indeed last nearly 2 day respect quite used dynamic island truth known could without dont think would ever use bought camera mostly camera im unused using dslrs produce spectacular picture downside moby size memory especially case 128mbs got least 256mbs gone full tilt pushed 1tbexcellent mobile need research know need forim satisfied purchase end
Kayode Akomolafe,5.0,"5.0 out of 5 stars
Great Value",N/A,handy size good battery life good working condition good display
Bunnie,5.0,"5.0 out of 5 stars
Love the quilty of the photo",N/A,phone expensive worth itthe camera quality amazing comparing photo quality using actual camera 14 pro max blew mind photo quality pretty closeface recognition definitely upgraded recognised even without makeupthe battery life phone insane playing game normally use phone charged 2 day still 20 left
Mert Ozunal,4.0,"4.0 out of 5 stars
Great and amazing",N/A,switched iphone android huawei phone quite happy look work greatmy complaint charger included paid 1000 gave cable lol
Bonkutza,5.0,"5.0 out of 5 stars
Best iphone ever ⭐️",N/A,perfect 5
JohnCC,5.0,"5.0 out of 5 stars
Best phone I've had in a long time",N/A,best phone ive long time great battery life good looking phone screen brilliant love apple eco system
Kian,5.0,"5.0 out of 5 stars
Good purchase",N/A,im happy iphone 14 pro max
Adam,3.0,"3.0 out of 5 stars
Was OK BUT...",N/A,phone ok slow think dodgy one however biggest issue iphone seemed 3 month le apple warranty although bought brand new amazon tried reassuring covered warranty pay apple price want apple service store confusing thought id return easiest option issue 2 week gone refund
